name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
WestRock,190,190,/company/westrock/,"$14,706",29.2%,$-396.3,-178.2%,"$23,038",,,,,"Packaging, Containers",VA,"$13,029",,2017,"39,000",Richmond,yes,no,no,,no,,no,,Materials,no,no,yes,no,no,61,61,,,
XPO,191,191,/company/xpo-logistics/,"$14,619",91.8%,$69,,"$11,698",,,,,Transportation and Logistics,CT,"$5,338",XPO,2017,"87,000",Greenwich,yes,no,no,,no,,no,,Transportation,no,no,no,no,no,162,162,,,
Aramark,192,192,/company/aramark/,"$14,416",0.6%,$287.8,22%,"$10,582",,,,,Diversified Outsourcing Services,PA,"$9,081",ARMK,2017,"217,250",Philadelphia,yes,no,no,,no,,no,,Business Services,no,no,yes,no,no,7,7,,,
Paramount Global,193,193,/company/cbs/,"$14,386",3.6%,"$1,261",-10.8%,"$24,238",,,,,Entertainment,NY,"$28,405",PARA,2017,"18,410",New York,yes,no,no,,no,,no,,Media,no,no,no,no,no,10,10,,,
AES,194,194,/company/aes/,"$14,287",-4.5%,"$-1,130",-469.3%,"$36,119",,,,,Utilities: Gas and Electric,VA,"$7,371",AES,2017,"19,000",Arlington,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-4,-4,,,
WellCare Health Plans,195,195,/company/wellcare-health-plans/,"$14,237",2.5%,$242.1,104.1%,"$6,153",,,,,Health Care: Insurance and Managed Care,FL,"$6,212",WCG,2017,"7,400",Tampa,yes,no,no,,no,,no,,Health Care,no,no,no,no,no,7,7,,,
FirstEnergy,196,196,/company/firstenergy/,"$14,156",-3.1%,"$-6,177","-1,168.70%","$43,148",,,,,Utilities: Gas and Electric,OH,"$14,118",FE,2017,"15,707",Akron,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-8,-8,,,
Conagra Brands,197,197,/company/conagra-brands/,"$14,134",-10.8%,$-677,,"$13,391",,,,,Food Consumer Products,IL,"$17,557",CAG,2017,"20,900",Chicago,no,yes,no,,no,,no,,"Food, Beverages & Tobacco",no,no,no,no,no,-21,-21,,,
TD Synnex,198,198,/company/synnex/,"$14,062",5.4%,$234.9,12.7%,"$5,223",,,,,Wholesalers: Electronics and Office Equipment,CA,"$4,469",SNX,2017,"110,000",Fremont,yes,no,no,,no,,no,,Wholesalers,no,no,no,no,no,14,14,,,
CDW,199,199,/company/cdw/,"$13,982",7.6%,$424.4,5.3%,"$6,948",,,,,Information Technology Services,IL,"$9,197",CDW,2017,"8,516",Lincolnshire,yes,no,no,,no,,no,,Technology,no,no,no,no,no,21,21,,,
Textron,200,200,/company/textron/,"$13,788",2.7%,$962,38%,"$15,358",,,,,Aerospace and Defense,RI,"$12,851",TXT,2017,"36,000",Providence,yes,no,no,,no,,no,,Aerospace & Defense,no,no,no,no,no,9,9,,,
Waste Management,201,201,/company/waste-management/,"$13,609",5%,"$1,182",57%,"$20,859",,,,,Waste Management,TX,"$32,216",WM,2017,"41,200",Houston,yes,no,no,,no,,no,,Business Services,no,no,no,no,no,20,20,,,
Illinois Tool Works,202,202,/company/illinois-tool-works/,"$13,599",1.4%,"$2,035",7.2%,"$15,201",,,,,Industrial Machinery,IL,"$45,791",ITW,2017,"50,000",Glenview,yes,no,no,,no,,no,,Industrials,no,no,yes,no,no,9,9,,,
ODP,203,203,/company/office-depot/,"$13,585",-6.2%,$529,"6,512.50%","$5,540",,,,,Specialty Retailers: Other,FL,"$2,402",ODP,2017,"38,000",Boca Raton,no,yes,no,,no,,no,,Retailing,no,no,no,no,no,-7,-7,,,
Monsanto,204,204,/company/monsanto/,"$13,502",-10%,"$1,336",-42.3%,"$19,736",,,,,Chemicals,MO,"$49,644",,2017,"22,450",St. Louis,no,yes,no,,no,,no,,Chemicals,no,no,yes,no,no,-15,-15,,,
Cognizant Technology Solutions,205,205,/company/cognizant-technology-solutions/,"$13,487",8.6%,"$1,553",-4.3%,"$14,262",,,,,Information Technology Services,NJ,"$36,226",CTSH,2017,"260,200",Teaneck,yes,no,no,,no,,no,,Technology,no,no,yes,no,no,25,25,,,
Texas Instruments,206,206,/company/texas-instruments/,"$13,370",2.8%,"$3,595",20.4%,"$16,431",,,,,Semiconductors and Other Electronic Components,TX,"$80,531",TXN,2017,"29,865",Dallas,yes,no,no,,no,,no,,Technology,no,no,yes,no,no,13,13,,,
Lincoln National,207,207,/company/lincoln-national/,"$13,330",-1.8%,"$1,192",3.3%,"$261,627",,,,,"Insurance: Life, Health (Stock)",PA,"$14,760",LNC,2017,"9,057",Radnor,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-2,-2,,,
Newell Brands,208,208,/company/newell-brands/,"$13,264",122.1%,$527.8,50.8%,"$33,838",,,,,"Home Equipment, Furnishings",NJ,"$22,787",NWL,2017,"53,400",Hoboken,yes,no,no,,no,,no,,Household Products,no,no,yes,no,no,226,226,,,
Land O'Lakes,209,209,/company/land-olakes/,"$13,233",0.6%,$244.9,-20.4%,"$8,305",,,,,Food Consumer Products,MN,,,2017,"10,000",Arden Hills,yes,no,no,,no,,no,,"Food, Beverages & Tobacco",no,no,no,no,no,6,6,,,
Marsh & McLennan,210,210,/company/marsh-mclennan/,"$13,211",2.5%,"$1,768",10.6%,"$18,190",,,,,Diversified Financials,NY,"$38,078",MMC,2017,"60,000",New York,yes,no,no,,no,,no,,Financials,no,no,no,no,no,12,12,,,
Ecolab,211,211,/company/ecolab/,"$13,153",-2.9%,"$1,229.6",22.7%,"$18,330",,,,,Chemicals,MN,"$36,356",ECL,2017,"47,565",St. Paul,no,yes,no,,no,,no,,Chemicals,no,no,yes,no,no,-5,-5,,,
C.H. Robinson Worldwide,212,212,/company/c-h-robinson-worldwide/,"$13,144",-2.5%,$513.4,0.7%,"$3,688",,,,,Transportation and Logistics,MN,"$10,958",CHRW,2017,"14,125",Eden Prairie,no,yes,no,,no,,no,,Transportation,no,no,yes,no,no,-4,-4,,,
Loews,213,213,/company/loews/,"$13,105",-2.3%,$654,151.5%,"$76,594",,,,,Insurance: Property and Casualty (Stock),NY,"$15,747",L,2017,"15,800",New York,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-3,-3,,,
CBRE Group,214,214,/company/cbre-group/,"$13,072",20.4%,$572,4.5%,"$10,780",,,,,Real Estate,CA,"$11,753",CBRE,2017,"75,000",Los Angeles,yes,no,no,,no,,no,,Financials,no,no,yes,no,no,45,45,,,
Kinder Morgan,215,215,/company/kinder-morgan/,"$13,058",-9.3%,$708,179.8%,"$80,305",,,,,Pipelines,TX,"$48,533",KMI,2017,"11,121",Houston,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-17,-17,,,
Kellanova,216,216,/company/kellogg/,"$13,014",-3.8%,$694,13%,"$15,111",,,,,Food Consumer Products,MI,"$25,417",K,2017,"37,369",Battle Creek,no,yes,no,,no,,no,,"Food, Beverages & Tobacco",no,no,yes,no,no,-9,-9,,,
Western Digital,217,217,/company/western-digital/,"$12,994",-10.8%,$242,-83.5%,"$32,862",,,,,Computer Peripherals,CA,"$23,775",WDC,2017,"72,878",Irvine,no,yes,no,,no,,no,,Technology,no,no,no,no,no,-23,-23,,,
Guardian Life Ins. Co. of America,218,218,/company/guardian-life-ins-co-of-america/,"$12,919",2.3%,$263.9,-35.7%,"$70,339",,,,,"Insurance: Life, Health (Mutual)",NY,,,2017,"8,876",New York,yes,no,no,,no,,yes,,Financials,no,no,no,no,no,8,8,,,
Ross Stores,219,219,/company/ross-stores/,"$12,867",7.8%,"$1,117.7",9.5%,"$5,309",,,,,Specialty Retailers: Apparel,CA,"$25,814",ROST,2017,"78,600",Dublin,yes,no,no,,no,,yes,,Retailing,no,no,yes,no,no,18,18,,,
Bath & Body Works,220,220,/company/l-brands/,"$12,574",3.5%,"$1,158.1",-7.6%,"$8,170",,,,,Specialty Retailers: Apparel,OH,"$13,426",BBWI,2017,"59,100",Columbus,yes,no,no,,yes,,no,,Retailing,no,no,yes,no,no,14,14,,,
J.C. Penney,221,221,/company/j-c-penney/,"$12,547",-0.6%,$1,,"$9,314",,,,,General Merchandisers,TX,"$1,901",JCP,2017,"106,000",Plano,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,7,7,,,
Farmers Insurance Exchange,222,222,/company/farmers-insurance-exchange/,"$12,513",-0.9%,$-147.9,,"$16,057",,,,,Insurance: Property and Casualty (Mutual),CA,,,2017,"13,309",Woodland Hills,yes,no,no,,no,,no,,Financials,no,no,no,no,no,5,5,,,
Reynolds American,223,223,/company/reynolds-american/,"$12,503",17.1%,"$6,073",86.7%,"$51,095",,,,,Tobacco,NC,"$89,862",RAI,2017,"5,525",Winston-Salem,yes,no,no,,no,,yes,,"Food, Beverages & Tobacco",no,no,no,no,no,43,43,,,
Viacom,224,224,/company/viacom/,"$12,488",-5.9%,"$1,438",-25.2%,"$22,508",,,,,Entertainment,NY,"$18,503",VIAB,2017,"9,650",New York,no,yes,no,,no,,no,,Media,no,no,no,no,no,-11,-11,,,
Becton Dickinson,225,225,/company/becton-dickinson/,"$12,483",21.4%,$976,40.4%,"$25,586",,,,,Medical Products and Equipment,NJ,"$39,041",BDX,2017,"50,928",Franklin Lakes,yes,no,no,,no,,no,,Health Care,no,no,yes,yes,no,53,53,,,
Micron Technology,226,226,/company/micron-technology/,"$12,399",-23.4%,$-276,-109.5%,"$27,540",,,,,Semiconductors and Other Electronic Components,ID,"$31,972",MU,2017,"31,400",Boise,no,yes,no,,no,,no,,Technology,no,no,no,no,no,-53,-53,,,
Principal Financial,227,227,/company/principal-financial/,"$12,394",3.6%,"$1,316.5",6.7%,"$228,014",,,,,"Insurance: Life, Health (Stock)",IA,"$18,143",PFG,2017,"14,854",Des Moines,yes,no,no,,no,,no,,Financials,no,no,no,no,no,9,9,,,
Howmet Aerospace,228,228,/company/arconic/,"$12,394",-45%,$-941,,"$20,038",,,,,Aerospace and Defense,NY,"$11,604",HWM,2017,"41,500",New York,no,yes,no,,no,,no,,Aerospace & Defense,yes,no,yes,no,no,-102,-102,,,
NRG Energy,229,229,/company/nrg-energy/,"$12,351",-15.8%,$-774,,"$30,355",,,,,Energy,NJ,"$5,911",NRG,2017,"8,763",Princeton,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-36,-36,,,
VF,230,230,/company/vf/,"$12,207",-1.4%,"$1,074.1",-12.8%,"$9,739",,,,,Apparel,NC,"$22,786",VFC,2017,"69,000",Greensboro,yes,no,no,,no,,no,,Apparel,no,no,yes,no,no,1,1,,,
Devon Energy,231,231,/company/devon-energy/,"$12,197",-7.2%,"$-3,302",,"$25,913",,,,,"Mining, Crude-Oil Production",OK,"$21,886",DVN,2017,"3,545",Oklahoma City,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-15,-15,,,
D.R. Horton,232,232,/company/d-r-horton/,"$12,157",12.3%,$886.3,18.1%,"$11,559",,,,,Homebuilders,TX,"$12,438",DHI,2017,"6,976",Arlington,yes,no,no,,no,,no,,Engineering & Construction,no,no,yes,no,no,28,28,,,
Bed Bath & Beyond,233,233,/company/bed-bath-beyond/,"$12,104",1.9%,$841.5,-12.1%,"$6,499",,,,,Specialty Retailers: Other,NJ,"$5,931",BBBYQ,2017,"62,000",Union,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,5,5,,,
Consolidated Edison,234,234,/company/consolidated-edison/,"$12,075",-3.8%,"$1,245",4.4%,"$48,255",,,,,Utilities: Gas and Electric,NY,"$23,708",ED,2017,"14,960",New York,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-5,-5,,,
Edison International,235,235,/company/edison-international/,"$11,869",3%,"$1,311",28.5%,"$51,319",,,,,Utilities: Gas and Electric,CA,"$25,938",EIX,2017,"12,390",Rosemead,yes,no,no,,no,,no,,Energy,no,no,no,no,no,11,11,,,
Sherwin-Williams,236,236,/company/sherwin-williams/,"$11,856",4.6%,"$1,132.7",7.5%,"$6,753",,,,,Chemicals,OH,"$28,891",SHW,2017,"42,550",Cleveland,yes,no,no,,no,,no,,Chemicals,no,no,yes,no,no,17,17,,,
NGL Energy Partners,237,237,/company/ngl-energy-partners/,"$11,742",-30.1%,$-198.9,-633.2%,"$5,560",,,,,Energy,OK,"$2,686",NGL,2017,"3,200",Tulsa,no,yes,no,,no,,no,,Energy,no,no,yes,no,no,-70,-70,,,
Dominion Energy,238,238,/company/dominion-resources/,"$11,737",0.5%,"$2,123",11.8%,"$71,610",,,,,Utilities: Gas and Electric,VA,"$48,732",D,2017,"16,200",Richmond,yes,no,no,,no,,no,,Energy,no,no,yes,no,no,5,5,,,
Ameriprise Financial,239,239,/company/ameriprise-financial/,"$11,735",-3.8%,"$1,314",-15.9%,"$139,821",,,,,Diversified Financials,MN,"$19,953",AMP,2017,"13,195",Minneapolis,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-7,-7,,,
Automatic Data Processing,240,240,/company/adp/,"$11,668",1.7%,"$1,492.5",2.8%,"$43,670",,,,,Diversified Outsourcing Services,NJ,"$45,963",ADP,2017,"57,000",Roseland,yes,no,no,,no,,no,,Business Services,no,no,yes,no,no,8,8,,,
Hilton,241,241,/company/hilton-worldwide-holdings/,"$11,663",3.5%,$348,-75.2%,"$26,211",,,,,"Hotels, Casinos, Resorts",VA,"$19,276",HLT,2017,"169,000",McLean,yes,no,no,,no,,no,,"Hotels, Restaurants & Leisure",no,yes,yes,no,no,13,13,,,
First Data,242,242,/company/first-data/,"$11,584",1.2%,$420,,"$40,292",,,,,Financial Data Services,GA,"$14,224",,2017,"24,000",Atlanta,yes,no,no,,no,,no,,Business Services,no,no,no,no,no,7,7,,,
Henry Schein,243,243,/company/henry-schein/,"$11,572",8.9%,$506.8,5.8%,"$6,730",,,,,Wholesalers: Health Care,NY,"$13,461",HSIC,2017,"21,000",Melville,yes,no,no,,no,,no,,Wholesalers,no,no,yes,no,no,25,25,,,
"Toys ""R"" Us",244,244,/company/toys-r-us/,"$11,540",-2.2%,$-36,,"$6,908",,,,,Specialty Retailers: Other,NJ,,,2017,"64,000",Wayne,no,yes,no,,no,,no,,Retailing,no,no,no,no,no,-4,-4,,,
Truist Financial,245,245,/company/bbt-corp/,"$11,538",11.5%,"$2,426",16.4%,"$219,276",,,,,Commercial Banks,NC,"$36,141",TFC,2017,"37,500",Winston-Salem,yes,no,no,,no,,no,,Financials,no,no,yes,no,no,28,28,,,
Reinsurance Group of America,246,246,/company/reinsurance-group-of-america/,"$11,522",10.6%,$701.4,39.7%,"$53,098",,,,,"Insurance: Life, Health (Stock)",MO,"$8,169",RGA,2017,"2,371",Chesterfield,yes,no,no,,no,,yes,,Financials,no,no,no,no,no,25,25,,,
Core-Mark Holding,247,247,/company/core-mark-holding/,"$11,507",29.9%,$54.2,5.2%,"$1,497",,,,,Wholesalers: Food and Grocery,CA,"$1,445",,2017,"7,688",South San Francisco,yes,no,no,,no,,no,,Wholesalers,no,no,no,no,no,70,70,,,
Biogen,248,248,/company/biogen/,"$11,449",6.4%,"$3,702.8",4.4%,"$22,877",,,,,Pharmaceuticals,MA,"$59,046",BIIB,2017,"7,400",Cambridge,yes,no,no,,no,,no,,Health Care,no,no,no,no,yes,15,15,,,
Las Vegas Sands,249,249,/company/las-vegas-sands/,"$11,410",-2.4%,"$1,670",-15.1%,"$20,469",,,,,"Hotels, Casinos, Resorts",NV,"$45,313",LVS,2017,"49,000",Las Vegas,no,yes,no,,no,,no,,"Hotels, Restaurants & Leisure",no,no,yes,no,no,-8,-8,,,
Stanley Black & Decker,250,250,/company/stanley-black-decker/,"$11,407",1.7%,$965.3,9.2%,"$15,635",,,,,"Home Equipment, Furnishings",CT,"$20,280",SWK,2017,"54,023",New Britain,yes,no,no,,no,,no,,Household Products,no,no,yes,no,no,6,6,,,
Parker-Hannifin,251,251,/company/parker-hannifin/,"$11,361",-10.6%,$806.8,-20.3%,"$12,057",,,,,Industrial Machinery,OH,"$21,370",PH,2017,"48,950",Cleveland,no,yes,no,,no,,no,,Industrials,no,no,no,no,no,-27,-27,,,
Stryker,252,252,/company/stryker/,"$11,325",13.9%,"$1,647",14.5%,"$20,435",,,,,Medical Products and Equipment,MI,"$49,115",SYK,2017,"33,000",Kalamazoo,yes,no,no,,no,,no,,Health Care,no,yes,yes,no,no,35,35,,,
Estée Lauder,253,253,/company/estee-lauder/,"$11,262",4.5%,"$1,114.6",2.4%,"$9,223",,,,,Household and Personal Products,NY,"$31,068",EL,2017,"46,000",New York,yes,no,no,,no,,no,,Household Products,no,no,yes,no,no,8,8,,,
Celgene,254,254,/company/celgene/,"$11,229",21.3%,"$1,999.2",24.8%,"$28,086",,,,,Pharmaceuticals,NJ,"$96,802",CELG,2017,"7,132",Summit,yes,no,no,,no,,no,,Health Care,no,no,no,no,no,51,51,,,
BlackRock,255,255,/company/blackrock/,"$11,155",-2.2%,"$3,172",-5.2%,"$220,177",,,,,Securities,NY,"$62,225",BLK,2017,"13,000",New York,no,yes,no,,yes,,no,,Financials,no,no,yes,no,no,-5,-5,,,
Xcel Energy,256,256,/company/xcel-energy/,"$11,107",0.7%,"$1,123.4",14.1%,"$41,155",,,,,Utilities: Gas and Electric,MN,"$22,546",XEL,2017,"11,476",Minneapolis,yes,no,no,,no,,no,,Energy,no,no,yes,no,no,1,1,,,
CSX,257,257,/company/csx/,"$11,069",-6.3%,"$1,714",-12.9%,"$35,414",,,,,Railroads,FL,"$43,126",CSX,2017,"26,628",Jacksonville,no,yes,no,,no,,no,,Transportation,no,no,yes,no,no,-18,-18,,,
Unum Group,258,258,/company/unum-group/,"$11,047",2.9%,$931.4,7.4%,"$61,942",,,,,"Insurance: Life, Health (Stock)",TN,"$10,749",UNM,2017,"9,400",Chattanooga,yes,no,no,,no,,no,,Financials,no,no,no,no,no,7,7,,,
Jacobs Solutions,259,259,/company/jacobs-engineering-group/,"$10,964",-9.5%,$210.5,-30.5%,"$7,360",,,,,"Engineering, Construction",TX,"$6,693",J,2017,"49,350",Dallas,no,yes,no,,no,,no,,Engineering & Construction,no,no,yes,no,no,-24,-24,,,
Lennar,260,260,/company/lennar/,"$10,950",15.6%,$911.8,13.6%,"$15,362",,,,,Homebuilders,FL,"$12,002",LEN,2017,"8,335",Miami,yes,no,no,,no,,no,,Engineering & Construction,no,no,yes,no,no,41,41,,,
Group 1 Automotive,261,261,/company/group-1-automotive/,"$10,888",2.4%,$147.1,56.5%,"$4,462",,,,,"Automotive Retailing, Services",TX,"$1,584",GPI,2017,"13,500",Houston,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,6,6,,,
Jefferies Financial Group,262,262,/company/leucadia-national/,"$10,875",-6.9%,$130,-54.2%,"$45,071",,,,,Diversified Financials,NY,"$9,355",JEF,2017,"13,000",New York,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-20,-20,,,
Entergy,263,263,/company/entergy/,"$10,846",-5.8%,$-583.6,,"$45,904",,,,,Utilities: Gas and Electric,LA,"$13,685",ETR,2017,"13,513",New Orleans,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-16,-16,,,
PayPal Holdings,264,264,/company/paypal-holdings/,"$10,842",17.2%,"$1,401",14.1%,"$33,103",,,,,Financial Data Services,CA,"$51,650",PYPL,2017,"18,100",San Jose,yes,no,no,,no,,no,,Business Services,no,no,yes,yes,no,43,43,,,
Applied Materials,265,265,/company/applied-materials/,"$10,825",12.1%,"$1,721",25%,"$14,588",,,,,Semiconductors and Other Electronic Components,CA,"$42,005",AMAT,2017,"16,150",Santa Clara,yes,no,no,,no,,no,,Technology,no,no,yes,no,no,30,30,,,
Voya Financial,266,266,/company/voya-financial/,"$10,782",-4.9%,$-428,-204.8%,"$214,235",,,,,Diversified Financials,NY,"$7,191",VOYA,2017,"6,700",New York,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-14,-14,,,
Mastercard,267,267,/company/mastercard/,"$10,776",11.5%,"$4,059",6.6%,"$18,675",,,,,Financial Data Services,NY,"$121,234",MA,2017,"11,900",Purchase,yes,no,no,,no,,no,,Business Services,no,no,yes,yes,no,27,27,,,
Booking Holdings,268,268,/company/booking-holdings/,"$10,743",16.5%,"$2,135",-16.3%,"$19,839",,,,,Internet Services and Retailing,CT,"$87,522",BKNG,2017,"18,500",Norwalk,yes,no,no,,no,,no,,Technology,no,no,yes,no,no,40,40,,,
Liberty Interactive,269,269,/company/liberty-interactive/,"$10,647",6.6%,"$1,235",42.1%,"$20,355",,,,,Internet Services and Retailing,CO,"$9,101",QVCA,2017,"21,080",Englewood,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,15,15,,,
AutoZone,270,270,/company/autozone/,"$10,636",4.4%,"$1,241",7%,"$8,600",,,,,Specialty Retailers: Other,TN,"$20,540",AZO,2017,"66,780",Memphis,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,10,10,,,
State Street,271,271,/company/state-street-corp/,"$10,635",-1.2%,"$2,143",8.2%,"$242,698",,,,,Commercial Banks,MA,"$30,406",STT,2017,"33,783",Boston,no,yes,no,,no,,no,,Financials,no,no,yes,no,no,-7,-7,,,
DTE Energy,272,272,/company/dte-energy/,"$10,630",2.8%,$868,19.4%,"$32,041",,,,,Utilities: Gas and Electric,MI,"$18,317",DTE,2017,"10,000",Detroit,yes,no,no,,no,,no,,Energy,no,no,no,no,no,2,2,,,
L3 Technologies,273,273,/company/l3-technologies/,"$10,597",-8.3%,$710,,"$11,865",,,,,Aerospace and Defense,NY,"$12,859",,2017,"38,000",New York,no,yes,no,,no,,no,,Aerospace & Defense,no,no,no,no,no,-28,-28,,,
HF Sinclair,274,274,/company/hollyfrontier/,"$10,536",-20.4%,$-260.5,-135.2%,"$9,436",,,,,Petroleum Refining,TX,"$5,048",DINO,2017,"2,676",Dallas,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-60,-60,,,
Linde,275,275,/company/linde/,"$10,534",-2.2%,"$1,500",-3%,"$19,332",,,,,Chemicals,CT,"$33,834",LIN,2017,"26,498",Danbury,no,yes,no,,no,,no,,Chemicals,no,no,no,no,no,-13,-13,,,
Universal Health Services,276,276,/company/universal-health-services/,"$10,508",7.4%,$702.4,3.2%,"$10,318",,,,,Health Care: Medical Facilities,PA,"$12,022",UHS,2017,"70,863",King of Prussia,yes,no,no,,no,,no,,Health Care,no,no,yes,no,no,14,14,,,
Discover Financial Services,277,277,/company/discover-financial-services/,"$10,497",4.9%,"$2,393",4.2%,"$92,308",,,,,Commercial Banks,IL,"$26,255",DFS,2017,"15,549",Riverwoods,yes,no,no,,no,,no,,Financials,no,no,no,no,no,6,6,,,
Occidental Petroleum,278,278,/company/occidental-petroleum/,"$10,398",-18.1%,$-574,,"$43,109",,,,,"Mining, Crude-Oil Production",TX,"$48,444",OXY,2017,"11,000",Houston,no,yes,no,,no,,yes,,Energy,no,no,no,no,no,-53,-53,,,
United States Steel,279,279,/company/united-states-steel/,"$10,261",-11.3%,$-440,,"$9,160",,,,,Metals,PA,"$5,893",X,2017,"29,800",Pittsburgh,no,yes,no,,no,,no,,Materials,no,no,no,no,no,-35,-35,,,
Sempra,280,280,/company/sempra-energy/,"$10,183",-0.5%,"$1,370",1.6%,"$47,786",,,,,Utilities: Gas and Electric,CA,"$27,692",SRE,2017,"16,575",San Diego,no,yes,no,,no,,yes,,Energy,no,no,no,no,no,-1,-1,,,
Baxter International,281,281,/company/baxter-international/,"$10,163",2%,"$4,965",412.9%,"$15,546",,,,,Medical Products and Equipment,IL,"$28,106",BAX,2017,"48,000",Deerfield,yes,no,no,,no,,no,,Health Care,no,no,no,no,no,5,5,,,
Grainger,282,282,/company/w-w-grainger/,"$10,137",1.6%,$605.9,-21.2%,"$5,694",,,,,Wholesalers: Diversified,IL,"$13,668",GWW,2017,"25,000",Lake Forest,yes,no,no,,no,,no,,Wholesalers,no,no,yes,no,no,3,3,,,
Autoliv,283,283,/company/autoliv/,"$10,074",9.9%,$567.1,24.1%,"$8,234",,,,,Motor Vehicles and Parts,MI,"$9,032",ALV,2017,"65,900",Auburn Hills,yes,no,no,,no,,no,,Motor Vehicles & Parts,no,no,no,no,no,27,27,,,
Norfolk Southern,284,284,/company/norfolk-southern/,"$9,888",-5.9%,"$1,668",7.2%,"$34,892",,,,,Railroads,VA,"$32,515",NSC,2017,"27,856",Norfolk,no,yes,no,,no,,no,,Transportation,no,no,no,no,no,-14,-14,,,
Baker Hughes,285,285,/company/baker-hughes/,"$9,841",-37.5%,"$-2,738",,"$19,034",,,,,"Oil and Gas Equipment, Services",TX,"$25,444",BKR,2017,"33,000",Houston,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-107,-107,,,
Ally Financial,286,286,/company/ally-financial/,"$9,835",3.1%,"$1,067",-17.2%,"$163,728",,,,,Diversified Financials,MI,"$9,437",ALLY,2017,"7,600",Detroit,yes,no,no,,no,,no,,Financials,no,no,no,no,no,12,12,,,
Sonic Automotive,287,287,/company/sonic-automotive/,"$9,732",1.1%,$93.2,8%,"$3,639",,,,,"Automotive Retailing, Services",NC,$900,SAH,2017,"9,800",Charlotte,yes,no,no,,yes,,no,,Retailing,no,no,no,no,no,10,10,,,
Owens & Minor,288,288,/company/owens-minor/,"$9,723",-0.5%,$108.8,5.2%,"$2,718",,,,,Wholesalers: Health Care,VA,"$2,114",OMI,2017,"7,900",Mechanicsville,yes,no,no,,no,,no,,Wholesalers,no,no,no,no,no,3,3,,,
Huntsman,289,289,/company/huntsman/,"$9,657",-6.2%,$326,250.5%,"$9,189",,,,,Chemicals,TX,"$5,880",HUN,2017,"15,000",The Woodlands,no,yes,no,,no,,no,,Chemicals,no,no,no,no,no,-12,-12,,,
Labcorp Holdings,290,290,/company/laboratory-corp-of-america/,"$9,642",11.1%,$732.1,67.6%,"$14,247",,,,,Health Care: Pharmacy and Other Services,NC,"$14,696",LH,2017,"52,000",Burlington,yes,no,no,,no,,no,,Health Care,no,no,no,no,no,35,35,,,
Murphy USA,291,291,/company/murphy-usa/,"$9,633",-11.5%,$221.5,25.6%,"$2,089",,,,,Specialty Retailers: Other,AR,"$2,706",MUSA,2017,"6,600",El Dorado,no,yes,no,,no,,no,,Retailing,no,no,no,no,no,-33,-33,,,
Advance Auto Parts,292,292,/company/advance-auto-parts/,"$9,568",-1.7%,$459.6,-2.9%,"$8,315",,,,,Specialty Retailers: Other,VA,"$10,944",AAP,2017,"57,500",Roanoke,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,1,1,,,
Fidelity National Financial,293,293,/company/fidelity-national-financial/,"$9,554",4.6%,$650,23.3%,"$14,463",,,,,Insurance: Property and Casualty (Stock),FL,"$10,600",FNF,2017,"55,219",Jacksonville,yes,no,no,,no,,no,,Financials,no,no,no,no,no,18,18,,,
Air Products & Chemicals,294,294,/company/air-products-chemicals/,"$9,524",-3.7%,$631.1,-50.6%,"$18,055",,,,,Chemicals,PA,"$29,438",APD,2017,"18,450",Allentown,no,yes,no,,no,,no,,Chemicals,no,no,no,no,no,-6,-6,,,
Hormel Foods,295,295,/company/hormel-foods/,"$9,523",2.8%,$890.1,29.7%,"$6,370",,,,,Food Consumer Products,MN,"$18,316",HRL,2017,"21,100",Austin,yes,no,no,,no,,no,,"Food, Beverages & Tobacco",no,no,no,no,no,9,9,,,
